repositoryOrigin,repositoryPath,repositoryBranch,projectName,sourceSet,groupId,artifactId,version,datedSnapshotVersion,scope,depth
github.com,openrewrite/rewrite,main,rewrite-test,main,org.openrewrite,rewrite-groovy,8.57.0-SNAPSHOT,,testCompileClasspath,0
github.com,openrewrite/rewrite,main,rewrite-test,main,org.openrewrite,rewrite-core,8.57.0-SNAPSHOT,,api,3
github.com,openrewrite/rewrite,main,rewrite-test,main,org.openrewrite,rewrite-java,8.57.0-SNAPSHOT,,apiElements,1
github.com,openrewrite/rewrite,main,rewrite-test,main,org.openrewrite,rewrite-yaml,8.57.0-SNAPSHOT,,apiElements,2
github.com,openrewrite/rewrite,main,rewrite-test,main,org.openrewrite,rewrite-groovy,8.57.0-SNAPSHOT,,testCompileClasspath,0
github.com,openrewrite/rewrite,main,rewrite-test,main,org.openrewrite,rewrite-core,8.57.0-SNAPSHOT,,api,0
github.com,openrewrite/rewrite,main,rewrite-test,main,org.openrewrite,rewrite-java,8.57.0-SNAPSHOT,,apiElements,1
github.com,openrewrite/rewrite,main,rewrite-test,main,org.openrewrite,rewrite-core,8.57.0-SNAPSHOT,,api,0
github.com,openrewrite/rewrite,main,rewrite-test,main,org.openrewrite,rewrite-core,8.57.0-SNAPSHOT,,api,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-csharp,0.28.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-toml,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-maven,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-test,8.57.0-SNAPSHOT,,testCompileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-kotlin,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-groovy,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-gradle,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-json,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-core,8.57.0-SNAPSHOT,,compile,3
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-python,1.39.0,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-java,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-protobuf,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-bom,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-xml,8.57.0-SNAPSHOT,,compile,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-yaml,8.57.0-SNAPSHOT,,compile,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-properties,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-hcl,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-java-lombok,8.57.0-SNAPSHOT,,runtime,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-toml,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-maven,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-kotlin,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-groovy,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-core,8.57.0-SNAPSHOT,,compile,3
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-python,1.39.0,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-java,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-bom,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-gradle,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-yaml,8.57.0-SNAPSHOT,,compile,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-properties,8.57.0-SNAPSHOT,,compile,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-hcl,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-csharp,0.28.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-java-17,8.57.0-SNAPSHOT,,runtime,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-test,8.57.0-SNAPSHOT,,testCompileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-gradle,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-json,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-protobuf,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-python-remote,1.39.0,,runtime,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-remote,0.26.0,,runtime,4
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-xml,8.57.0-SNAPSHOT,,compile,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-remote-java,0.26.0,,runtime,3
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-csharp,0.28.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-toml,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-maven,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-kotlin,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-groovy,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-gradle,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-json,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-core,8.57.0-SNAPSHOT,,compile,3
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-python,1.39.0,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-java,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-protobuf,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-bom,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-xml,8.57.0-SNAPSHOT,,compile,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-yaml,8.57.0-SNAPSHOT,,compile,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-properties,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-hcl,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-java-lombok,8.57.0-SNAPSHOT,,runtime,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-toml,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-maven,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-kotlin,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-groovy,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-core,8.57.0-SNAPSHOT,,compile,3
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-python,1.39.0,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-java,8.57.0-SNAPSHOT,,compile,1
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-bom,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-gradle,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-yaml,8.57.0-SNAPSHOT,,compile,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-properties,8.57.0-SNAPSHOT,,compile,2
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-hcl,8.57.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-csharp,0.28.0-SNAPSHOT,,compileClasspath,0
github.com,openrewrite/rewrite-all,main,rewrite-all,main,org.openrewrite,rewrite-java-17,8.57.0-SNAPSHOT,,runtime,1
