repositoryOrigin,repositoryPath,repositoryBranch,groupId,artifactId
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-bom
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-core
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-benchmarks
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-groovy
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-hcl
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-java
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-gradle
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-java-11
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-java-17
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-java-21
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-java-8
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-java-lombok
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-java-tck
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-java-test
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-javascript
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-json
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-kotlin
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-maven
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-properties
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-protobuf
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-test
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-toml
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-xml
github.com,openrewrite/rewrite,main,org.openrewrite,rewrite-yaml
github.com,openrewrite/rewrite-all,main,org.openrewrite.recipe,rewrite-all
github.com,"openrewrite/rewrite-analysis",main,org.openrewrite.meta,rewrite-analysis
github.com,"openrewrite/rewrite-apache",main,org.openrewrite.recipe,rewrite-apache
github.com,"openrewrite/rewrite-build-gradle-plugin",main,org.openrewrite,"rewrite-build-gradle-plugin"
github.com,"openrewrite/rewrite-csharp",main,org.openrewrite,rewrite-csharp
github.com,"openrewrite/rewrite-csharp",main,org.openrewrite,rewrite-csharp
github.com,"openrewrite/rewrite-csharp",main,org.openrewrite,rewrite-csharp-remote
github.com,"openrewrite/rewrite-csharp",main,org.openrewrite,"rewrite-csharp-remote-server"
github.com,"openrewrite/rewrite-csharp",main,org.openrewrite,"rewrite-test-engine-remote"
github.com,"openrewrite/rewrite-cucumber-jvm",main,org.openrewrite.recipe,rewrite-cucumber-jvm
github.com,"openrewrite/rewrite-docker",main,org.openrewrite.recipe,rewrite-docker
github.com,"openrewrite/rewrite-dropwizard",main,org.openrewrite.recipe,rewrite-dropwizard
github.com,"openrewrite/rewrite-feature-flags",main,org.openrewrite.recipe,rewrite-feature-flags
github.com,"openrewrite/rewrite-generative-ai",main,org.openrewrite,rewrite-generative-ai
github.com,"openrewrite/rewrite-github-actions",main,org.openrewrite.recipe,rewrite-github-actions
github.com,"openrewrite/rewrite-gitlab",main,org.openrewrite.recipe,rewrite-gitlab
github.com,"openrewrite/rewrite-gradle-plugin",main,org.openrewrite,rewrite-gradle-plugin
github.com,"openrewrite/rewrite-gradle-plugin",main,org.openrewrite,rewrite-gradle-plugin
github.com,"openrewrite/rewrite-gradle-plugin",main,org.openrewrite,plugin
github.com,"openrewrite/rewrite-gradle-tooling-model",main,"org.openrewrite.gradle.tooling","rewrite-gradle-tooling-model"
github.com,"openrewrite/rewrite-gradle-tooling-model",main,"org.openrewrite.gradle.tooling",model
github.com,"openrewrite/rewrite-gradle-tooling-model",main,"org.openrewrite.gradle.tooling",plugin
github.com,"openrewrite/rewrite-hibernate",main,org.openrewrite.recipe,rewrite-hibernate
github.com,"openrewrite/rewrite-jackson",main,org.openrewrite.recipe,rewrite-jackson
github.com,"openrewrite/rewrite-java-dependencies",main,org.openrewrite.recipe,"rewrite-java-dependencies"
github.com,"openrewrite/rewrite-jenkins",main,org.openrewrite.recipe,rewrite-jenkins
github.com,"openrewrite/rewrite-liberty",main,org.openrewrite.recipe,rewrite-liberty
github.com,"openrewrite/rewrite-logging-frameworks",main,org.openrewrite.recipe,"rewrite-logging-frameworks"
github.com,"openrewrite/rewrite-maven-plugin",main,org.openrewrite.maven,rewrite-maven-plugin
github.com,"openrewrite/rewrite-micrometer",main,org.openrewrite.recipe,rewrite-micrometer
github.com,"openrewrite/rewrite-micronaut",main,org.openrewrite.recipe,rewrite-micronaut
github.com,"openrewrite/rewrite-migrate-java",main,org.openrewrite.recipe,rewrite-migrate-java
github.com,"openrewrite/rewrite-netty",main,org.openrewrite.recipe,rewrite-netty
github.com,"openrewrite/rewrite-okhttp",main,org.openrewrite.recipe,rewrite-okhttp
github.com,"openrewrite/rewrite-openapi",main,org.openrewrite.recipe,rewrite-openapi
github.com,"openrewrite/rewrite-python",main,org.openrewrite,rewrite-python
github.com,"openrewrite/rewrite-python",main,org.openrewrite,rewrite-python
github.com,"openrewrite/rewrite-python",main,org.openrewrite,rewrite-python-remote
github.com,"openrewrite/rewrite-python",main,org.openrewrite,"rewrite-test-engine-remote"
github.com,"openrewrite/rewrite-quarkus",main,org.openrewrite.recipe,rewrite-quarkus
github.com,"openrewrite/rewrite-recipe-bom",main,,build-src
github.com,"openrewrite/rewrite-recipe-bom",main,,build-src
github.com,"openrewrite/rewrite-recipe-bom",main,,build-src
github.com,"openrewrite/rewrite-recipe-bom",main,,build-src
github.com,"openrewrite/rewrite-recipe-bom",main,,build-src
github.com,"openrewrite/rewrite-recipe-bom",main,org.openrewrite.recipe,rewrite-recipe-bom
github.com,"openrewrite/rewrite-recipe-markdown-generator",main,org.example,"rewrite-recipe-markdown-generator"
github.com,"openrewrite/rewrite-rewrite",main,org.openrewrite.recipe,rewrite-rewrite
github.com,"openrewrite/rewrite-static-analysis",main,org.openrewrite.recipe,rewrite-static-analysis
github.com,"openrewrite/rewrite-struts",main,org.openrewrite.recipe,rewrite-struts
github.com,"openrewrite/rewrite-templating",main,org.openrewrite,rewrite-templating
github.com,"openrewrite/rewrite-testing-frameworks",main,org.openrewrite.recipe,"rewrite-testing-frameworks"
github.com,"openrewrite/rewrite-third-party",main,org.openrewrite.recipe,rewrite-third-party
